Câu hỏi,Đáp án chuẩn,Đáp án hệ thống,Trạng thái đánh giá
Câu 1,A. Tính sẵn sàng,A. Tính sẵn sàng,Khớp
Câu 2,A. False negative,B. False positive,Khác (Hệ thống nhận nhầm người lạ là hợp lệ phải là False Positive / False Acceptance)
Câu 3,E. Discretionary Access Control (DAC),E. Discretionary Access Control (DAC),Khớp
Câu 4,D. Khóa Private của Bob,D. Khóa Private của Bob,Khớp
Câu 5,D. Khóa Public của Bob,D. Khóa Public của Bob,Khớp
Câu 6,D. Electronic codebook mode - ECB,D. Electronic codebook mode - ECB,Khớp
Câu 7,(Ghép nối đúng),"(Ghép nối đúng định dạng DES-64, AES-128...)",Khớp
Câu 8,"B, D, E","B, D, E","Khớp (Ghi chú: E. 'Shif left' là lỗi gõ phím của đề, đúng ra là 'ShiftRows')"
Câu 9,C. Trao đổi khóa,C. Trao đổi khóa,Khớp
Câu 10,D. Social Engineering,D. Social Engineering,Khớp
Câu 11,C. Lọc dữ liệu người dùng nhập vào,C. Lọc dữ liệu người dùng nhập vào,Khớp
Câu 12,D. Backdoor,D. Backdoor,Khớp
Câu 13,C. nmap,C. nmap,Khớp
Câu 14,A. Các dấu hiệu tấn công,A. Các dấu hiệu tấn công,Khớp
Câu 15,"D, E",E. Worm,"Khác (Chỉ Worm là mã độc tự lây lan độc lập hoàn toàn, Zombie cần có C&C Server điều khiển)"
Câu 16,Khách hàng có thể xác thực tính toàn vẹn...,Khách hàng có thể xác thực tính toàn vẹn...,Khớp
Câu 17,D. Rootkit,D. Rootkit,Khớp
Câu 18,B. RSA,B. RSA,Khớp
Câu 19,A. X giả mạo địa chỉ MAC của Y,A. X giả mạo địa chỉ MAC của Y,Khớp
Câu 20,"C. 80, 20, 21, 25, 443","C. 80, 20, 21, 25, 443",Khớp
Câu 21,C. SSL/TLS,C. SSL/TLS,Khớp
Câu 22,C. Biết các hoạt động bình thường của hệ thống...,C. Biết các hoạt động bình thường của hệ thống...,Khớp
Câu 23,"C, B, A, D, E, F, G","A, B, C, D, E, F, G","Khác (Thứ tự từ trong ra ngoài phải là: Data, App, Host, LAN, Perimeter, Physical, Policies)"
Câu 24,A. Để xác định các host đang hoạt động trên mạng,A. Để xác định các host đang hoạt động trên mạng,Khớp
Câu 25,B. RBAC (Role Based Access Control),B. RBAC (Role Based Access Control),Khớp
Câu 26,B. Object,"B. Object (và Subject, Rights)",Khớp
Câu 27,"A, B","A, B",Khớp
Câu 28,"A, B","A, B",Khớp
Câu 29,A. $sudo sysctl –w kernel.randomize_va_space=0,A. $sudo sysctl –w kernel.randomize_va_space=0,Khớp
Câu 30,A. Lưu các biến static/global đã được khởi tạo...,A. Lưu các biến static/global đã được khởi tạo...,Khớp
Câu 31,B. Hardening,B. Hardening,Khớp
Câu 32,D. Để ẩn hoạt động của họ trên mạng,D. Để ẩn hoạt động của họ trên mạng,Khớp
Câu 33,A. Lưu trữ giá trị Return Address ở một nơi khác...,A. Lưu trữ giá trị Return Address ở một nơi khác...,Khớp
Câu 34,B. Sử dụng một vùng nhớ đệm an toàn...,B. Sử dụng một vùng nhớ đệm an toàn...,Khớp
Câu 35,B. Giới hạn các quyền truy cập...,B. Giới hạn các quyền truy cập...,Khớp
Câu 36,B. Least Privilege,B. Least Privilege,Khớp
Câu 37,"A, B, C","A, B, C",Khớp
Câu 38,A. ISO 27001,A. ISO 27001,Khớp
Câu 39,A. CList(Ha) = bt1: {read}...,A. CList(Ha) = bt1: {read}...,Khớp
Câu 40,A. ACL(bt2) = Nam: {read}...,A. ACL(bt2) = Nam: {read}...,Khớp
Câu 41,B. Authorization,"A, B, C","Khác (AAA gồm Authentication, Authorization, Accounting. Đề hỏi các chức năng, đáp án mẫu chỉ ghi B là thiếu)"
Câu 42,A. Đào tạo nâng cao nhận thức người dùng,A. Đào tạo nâng cao nhận thức người dùng,Khớp
Câu 43,B. Là lỗ hổng phá hoại hệ thống trong vòng một ngày,B. Là lỗ hổng phá hoại hệ thống trong vòng một ngày,Khớp
Câu 44,A. Đảm bảo rằng mọi người đều hiểu chính sách...,A. Đảm bảo rằng mọi người đều hiểu chính sách...,Khớp
Câu 45,A. Heap và stack,A. Heap và stack,Khớp
Câu 46,C. Transport layer,C. Transport layer,Khớp
Câu 47,A. Radius,B. 802.1X,"Khác (Trong đề ghi lỗi là 802.11X. Radius là Server, 802.1X mới là chuẩn Giao thức xác thực Port Layer 2)"
Câu 48,"B, C, F","A, B, C","Khác (CIA là: Bí mật-A, Toàn vẹn-B, Sẵn sàng-C. Đáp án mẫu chọn F-Tính dễ mở rộng là sai cơ bản)"
Câu 49,C. Subjective Access Control,C. Subjective Access Control,Khớp
Câu 50,D. Nó có thể cho phép mã độc được chèn vào,D. Nó có thể cho phép mã độc được chèn vào,Khớp
